block,plot,compost,mixture,provenance,innoculation,compost_min_row,compost_max_row,notes
A,12,northern_half,A,local,NO,7,13,
A,13,southern_half,A,local,YES,1,6,
B,52,southern_half,A,local,YES,1,6,
B,58,northern_half,A,local,NO,7,13,
C,70,northern_half,A,local,NO,8,13,
C,71,southern_half,A,local,YES,1,6,
D,102,northern_half,A,local,YES,8,13,
D,110,southern_half,A,local,NO,1,7,
A,7,northern_half,B,dry,NO,7,13,
A,23,southern_half,B,dry,YES,1,8,planned as chook in rows 1 to 7
B,35,northern_half,B,dry,NO,8,13,
B,55,northern_half,B,dry,YES,7,13,
C,83,northern_half,B,dry,NO,8,13,
C,84,southern_half,B,dry,YES,1,7,
D,101,southern_half,B,dry,YES,1,6,
D,114,northern_half,B,dry,NO,8,13,
A,4,southern_half,C,local,YES,1,7,
A,29,northern_half,C,local,NO,7,13,
B,51,northern_half,C,local,NO,7,13,
B,57,southern_half,C,local,YES,1,7,
C,67,southern_half,C,local,YES,1,7,
C,87,northern_half,C,local,NO,7,13,
D,100,northern_half,C,local,YES,7,13,
D,117,southern_half,C,local,NO,1,7,
A,6,southern_half,D,dry,NO,1,6,
A,19,southern_half,D,dry,YES,1,6,
B,36,southern_half,D,dry,NO,1,7,
B,47,southern_half,D,dry,YES,1,6,
C,86,southern_half,D,dry,NO,1,7,
C,88,southern_half,D,dry,YES,1,6,planned as H and YES
A,2,southern_half,E,local,NO,1,6,
A,25,southern_half,E,local,YES,1,7,
B,42,northern_half,E,local,NO,7,13,
B,59,northern_half,E,local,YES,8,13,
C,72,northern_half,E,local,YES,8,13,
C,80,northern_half,E,local,NO,8,13,
D,94,northern_half,E,local,NO,7,13,
D,116,northern_half,E,local,YES,7,13,
A,9,northern_half,F,dry,NO,8,13,
A,30,southern_half,F,dry,YES,1,6,planned as G and NO
B,34,southern_half,F,dry,NO,1,6,
B,53,northern_half,F,dry,YES,8,13,
C,77,southern_half,F,dry,YES,1,7,
C,78,northern_half,F,dry,NO,7,13,
D,92,northern_half,F,dry,NO,8,13,
D,119,southern_half,F,dry,NO,1,6,planned as H and NO
A,22,northern_half,G,local,YES,8,13,
A,24,northern_half,G,local,NO,8,13,planned as F and YES
B,41,southern_half,G,local,YES,1,7,
B,49,southern_half,G,local,NO,1,7,
C,61,northern_half,G,local,YES,7,13,
C,75,southern_half,G,local,NO,1,6,
D,109,northern_half,G,local,NO,8,13,
D,113,southern_half,G,local,YES,1,6,
A,10,southern_half,H,local,NO,1,7,
A,17,northern_half,H,local,YES,8,13,
B,45,southern_half,H,local,NO,1,7,
B,48,northern_half,H,local,YES,8,13,
C,69,southern_half,H,local,NO,1,6,
C,90,southern_half,H,local,YES,1,7,planned as D and YES
D,104,northern_half,H,local,YES,7,13,
D,120,northern_half,H,local,YES,8,13,planned as F and YES
A,14,northern_half,I,local,NO,8,13,
A,16,southern_half,I,local,YES,1,6,
B,54,southern_half,I,local,YES,1,7,
B,56,southern_half,I,local,NO,1,7,
C,66,northern_half,I,local,NO,8,13,
C,81,northern_half,I,local,YES,7,13,
D,107,southern_half,I,local,NO,1,7,
D,115,southern_half,I,local,YES,1,7,
A,21,southern_half,J,local,NO,1,6,
A,26,northern_half,J,local,YES,7,13,
B,37,northern_half,J,local,NO,7,13,
B,43,southern_half,J,local,YES,1,6,
C,65,northern_half,J,local,NO,7,13,
C,68,northern_half,J,local,YES,7,13,
D,98,northern_half,J,local,NO,8,13,
D,118,northern_half,J,local,YES,7,13,
A,1,northern_half,K,local,YES,7,13,
A,27,southern_half,K,local,NO,1,6,
B,33,northern_half,K,local,YES,7,13,
B,50,southern_half,K,local,NO,1,7,
C,73,southern_half,K,local,YES,1,7,
C,89,northern_half,K,local,NO,8,13,
D,103,southern_half,K,local,NO,1,7,
D,108,southern_half,K,local,YES,1,6,
A,5,northern_half,L,local,YES,7,13,
A,28,southern_half,L,local,NO,1,7,
B,31,northern_half,L,local,YES,8,13,
B,60,northern_half,L,local,NO,8,13,
C,63,northern_half,L,local,NO,8,13,
C,79,southern_half,L,local,YES,1,6,
D,95,southern_half,L,local,YES,1,6,
D,112,southern_half,L,local,NO,1,6,
A,3,northern_half,M,dry,NO,8,13,
A,18,northern_half,M,dry,YES,7,13,
B,32,southern_half,M,dry,NO,1,7,
B,46,northern_half,M,dry,YES,7,13,
C,76,northern_half,M,dry,YES,8,13,
C,85,northern_half,M,dry,NO,7,13,
D,99,southern_half,M,dry,YES,1,7,
D,111,northern_half,M,dry,NO,7,13,
A,11,southern_half,N,local,YES,1,7,
A,15,northern_half,N,local,NO,7,13,
B,38,southern_half,N,local,NO,1,6,
B,39,northern_half,N,local,YES,8,13,
C,64,southern_half,N,local,NO,1,7,
C,82,southern_half,N,local,YES,1,6,
D,105,southern_half,N,local,NO,1,6,
D,106,northern_half,N,local,YES,8,13,
A,8,southern_half,O,local,NO,1,6,
A,20,northern_half,O,local,YES,8,13,
B,40,southern_half,O,local,NO,1,7,
B,44,northern_half,O,local,YES,8,13,
C,62,southern_half,O,local,YES,1,6,
C,74,northern_half,O,local,NO,7,13,
D,91,southern_half,O,local,NO,1,6,
D,96,northern_half,O,local,YES,7,13,
