plot,date_planted
1,2021-06-24
2,2021-06-24
3,2021-06-24
4,2021-05-20
5,2021-06-24
6,2021-06-24
7,2021-05-20
8,2021-06-24
9,2021-06-24
10,2021-06-24
11,2021-06-25
12,2021-05-20
13,2021-05-20
14,2021-06-25
15,2021-06-25
16,2021-06-25
17,2021-06-25
18,2021-06-26
19,2021-06-26
20,2021-06-27
21,2021-06-25
22,2021-06-25
23,2021-05-21
24,2021-06-26
25,2021-06-27
26,2021-05-21
27,2021-06-26
28,2021-06-26
29,2021-05-21
30,2021-06-27
31,2021-06-27
32,2021-06-27
33,2021-06-27
34,
35,2021-05-28
36,2021-05-28
37,
38,
39,
40,
41,
42,
43,2021-06-04
44,
45,2021-05-28
46,2021-05-28
47,2021-05-28
48,2021-05-28
49,
50,2021-06-01
51,
52,
53,2021-06-01
54,2021-06-01
55,2021-06-01
56,
57,2021-06-01
58,2021-05-21
59,2021-06-02
60,2021-06-26
61,2021-06-02
62,2021-06-02
63,2021-06-02
64,2021-06-02
65,2021-06-02
66,2021-06-03
67,2021-06-03
68,2021-06-03
69,2021-06-03
70,
71,
72,2021-06-04
73,2021-06-04
74,2021-06-04
75,2021-06-04
76,
77,
78,2021-06-07
79,2021-06-07
80,2021-06-07
81,
82,
83,
84,
85,2021-06-07
86,
87,
88,2021-06-11
89,2021-06-11
90,2021-06-11
91,2021-06-11
92,2021-06-11
93,2021-06-11
94,2021-06-11
95,2021-06-11
96,2021-06-11
97,
98,2021-06-14
99,2021-06-14
100,2021-06-14
101,2021-06-14
102,2021-06-14
103,2021-06-14
104,2021-06-14
105,2021-06-14
106,2021-06-17
107,2021-06-14
108,2021-06-17
109,2021-06-17
110,2021-06-17
111,2021-06-17
112,2021-06-17
113,2021-06-17
114,2021-06-17
115,2021-06-17
116,2021-06-17
117,2021-06-17
118,2021-06-17
119,
120,
