plant_number,leaf_sample,leaflet,n_of_leaves,lamina_area_cm2,fresh_leaf_mass_g,dry_leaf_mass_g
1,1,1,1,1.001,0.0431,0.0154
1,1,2,1,3.39,0.1177,0.0436
1,1,rach,1,3.851,0.1084,0.0328
1,1,10leaves,10,1.381,0.0241,0.0115
1,2,1,1,0.332,0.0123,0.0049
1,2,2,1,0.661,0.0269,0.0107
1,2,3,1,0.794,0.0363,0.0149
1,2,4,1,1.019,0.0517,0.0209
1,2,5,1,1.566,0.0667,0.0291
1,2,6,1,1.991,0.0847,0.037
1,2,rach,1,8.134,0.3281,0.1409
1,2,10leaves,10,0.994,0.013,0.0065
1,3,1,1,0.934,0.0347,0.0152
1,3,2,1,1.792,0.0579,0.0243
1,3,3,1,2.097,0.074,0.0314
1,3,4,1,2.026,0.0871,0.0375
1,3,5,1,2.901,0.1208,0.0506
1,3,6,1,4.207,0.1628,0.0685
1,3,rach,1,20.287,0.745,0.3118
1,3,10leaves,10,1.47,0.0219,0.0107
2,1,1,1,0.686,0.0375,0.0149
2,1,2,1,1.488,0.0822,0.0329
2,1,3,1,1.48,0.093,0.0376
2,1,4,1,2.134,0.1118,0.0452
2,1,5,1,2.504,0.1196,0.0485
2,1,6,1,2.453,0.1195,0.0484
2,1,7,1,2.268,0.1185,0.0477
2,1,8,1,2.62,0.1214,0.0489
2,1,9,1,2.972,0.1222,0.0504
2,1,rach,1,27.94,1.0213,0.408
2,1,10leaves,10,1.678,0.024,0.0096
2,2,1,1,0.855,0.0584,0.022
2,2,2,1,2.702,0.1139,0.042
2,2,3,1,4.772,0.1373,0.0518
2,2,4,1,6.064,0.1404,0.0533
2,2,5,1,6.827,0.1605,0.0621
2,2,6,1,7.126,0.1734,0.0657
2,2,7,1,6.368,0.1824,0.0699
2,2,8,1,3.104,0.1386,0.0536
2,2,rach,1,42.552,1.3781,0.514
2,2,10leaves,10,1.772,0.0245,0.0099
2,3,1,1,0.536,0.0351,0.0151
2,3,2,1,0.613,0.061,0.0252
2,3,3,1,1.212,0.0803,0.033
2,3,4,1,1.258,0.0914,0.0383
2,3,5,1,1.51,0.0867,0.035
2,3,6,1,1.065,0.0932,0.0385
2,3,7,1,2.292,0.0947,0.0399
2,3,8,1,1.587,0.1062,0.0445
2,3,9,1,1.714,0.0934,0.0388
2,3,rach,1,9.821,0.9257,0.03773
2,3,10leaves,10,2.014,0.021,0.0082
3,1,1,1,0.236,0.0149,0.0065
3,1,2,1,0.849,0.0341,0.0139
3,1,3,1,1.444,0.0467,0.0184
3,1,4,1,1.9,0.0576,0.0224
3,1,5,1,1.578,0.0787,0.0304
3,1,6,1,1.708,0.0925,0.0361
3,1,rach,1,9.852,0.4476,0.1669
3,1,10leaves,10,1,0.0165,0.0071
3,2,1,1,0.522,0.0177,0.0075
3,2,2,1,1.322,0.044,0.017
3,2,3,1,1.828,0.0652,0.0257
3,2,4,1,2.631,0.1199,0.0429
3,2,5,1,2.704,0.1126,0.0403
3,2,rach,1,5.766,0.2767,0.0992
3,2,10leaves,10,0.842,0.0128,0.0069
3,3,1,1,0.904,0.0248,0.0091
3,3,2,1,1.385,0.045,0.0152
3,3,3,1,1.757,0.0679,0.0217
3,3,4,1,1.795,0.0847,0.0269
3,3,5,1,3.288,0.1099,0.0339
3,3,6,1,5.774,0.1884,0.062
3,3,7,1,2.911,0.1339,0.0383
3,3,rach,1,19.977,0.8954,0.2811
3,3,10leaves,10,1.069,0.0179,0.0063
4,1,1,1,9.065,0.282,0.1128
4,1,2,1,7.572,0.2767,0.1106
4,1,3,1,9.654,0.2948,0.1225
4,1,4,1,5.712,0.2251,0.0917
4,1,5,1,6.347,0.1813,0.074
4,1,6,1,6.063,0.1846,0.0738
4,1,7,1,3.855,0.0948,0.0364
4,1,rach,1,52.202,1.9697,0.7504
4,1,10leaves,10,2.937,0.0422,0.0206
4,2,1,1,4.45,0.1531,0.558
4,2,2,1,4.106,0.1263,0.46
4,2,3,1,3.786,0.1186,0.0439
4,2,4,1,3.877,0.1237,0.0451
4,2,5,1,3.381,0.1035,0.0392
4,2,6,1,2.352,0.0769,0.0265
4,2,7,1,1.132,0.0368,0.0137
4,2,rach,1,15.289,0.8394,0.3099
4,2,10leaves,10,1.242,0.0198,0.0084
4,3,1,1,2.888,0.1208,0.0479
4,3,2,1,4.74,0.1671,0.066
4,3,3,1,5.72,0.2115,0.0828
4,3,4,1,5.749,0.219,0.0886
4,3,5,1,6.01,0.2455,0.0971
4,3,6,1,5.364,0.2599,0.1024
4,3,7,1,5.537,0.2524,0.1001
4,3,8,1,4.971,0.2474,0.1026
4,3,rach,1,56.268,1.9643,0.791
4,3,10leaves,10,2.417,0.0319,0.0163
5,1,,1,8.394,0.3735,0.105
5,2,,1,9.847,0.3909,0.1113
5,3,,1,7.279,0.2954,0.0823
6,1,,1,16.911,0.5752,0.1347
6,2,,1,21.521,0.6852,0.1638
6,3,,1,23.66,0.636,0.2
7,1,,1,13.958,0.4672,0.1116
7,2,,1,11.561,0.3978,0.0888
7,3,,1,13.38,0.4339,0.094
8,1,,1,16.921,0.6012,0.1664
8,2,,1,16.085,0.5833,0.1602
8,3,,1,19.482,0.7311,0.1929
9,1,,1,26.859,0.4335,0.1637
9,2,,1,25.375,0.3315,0.1268
9,3,,1,24.121,0.3702,0.1449
10,1,,1,13.14,0.147,0.0553
10,2,,1,18.2,0.2442,0.0928
10,3,,1,11.996,0.133,0.0516
11,1,,1,25.719,0.524,0.1799
11,2,,1,31.716,0.6831,0.2825
11,3,,1,11.632,0.2105,0.0854
12,1,,1,77.764,1.3077,0.4303
12,2,,1,56.313,0.7507,0.2662
12,3,,1,79.167,1.4145,0.4747
13,1,,1,69.992,1.1475,0.4585
13,2,,1,70.881,1.182,0.4811
13,3,,1,72.835,1.1549,0.4487
