plant_number,stem_displaced_water_volume_g,stem_oven_dry_mass_g,dry_root_mass_g,fresh_root_length_cm,fresh_root_volume_cm3,fresh_avg_diameter_mm
1,1.01,0.4576,0.3413,479.209,1.047,0.527
2,1.96,0.833,0.1036,230.508,0.356,0.444
3,0.84,0.3487,0.059,280.907,0.35,0.398
4,2.24,0.948,0.1606,519.825,0.629,0.393
5,1.52,0.6257,0.1543,372.217,0.498,0.413
6,1.76,0.7161,0.051,188.4,0.213,0.379
7,1.04,0.4548,0.0843,267.151,0.415,0.445
8,1.48,0.6436,0.1043,501.174,0.647,0.406
9,1.96,0.6753,0.0532,243.214,0.21,0.331
10,0.73,0.2793,0.0395,291.858,0.206,0.3
11,3.38,1.2311,0.0777,300.843,0.272,0.34
12,5.15,1.8225,0.1206,458.027,0.451,0.354
13,5.38,1.9934,0.0537,235.983,0.167,0.3
14,4.91,1.8961,0.089,253.584,0.264,0.364
15,4.63,1.7188,0.1436,271.17,0.457,0.463
16,7.8,3.1756,0.1074,212.074,0.36,0.465
17,3.81,1.4593,0.1489,401.547,0.468,0.385
18,3.29,1.218,0.1449,551.364,0.569,0.363
19,1.98,0.7307,0.1379,527.145,0.618,0.386
20,3.19,1.251,0.0579,166.655,0.268,0.452
21,1.53,0.6006,0.0723,236.009,0.309,0.408
22,0.76,0.3106,0.0299,261.704,0.137,0.258
23,0.56,0.2528,0.0428,228.788,0.154,0.293
24,1.24,0.5316,0.0365,162.483,0.222,0.417
25,0.99,0.4264,0.1193,250.494,0.303,0.392
26,0.99,0.3923,0.0614,180.865,0.2,0.376
27,0.66,0.2891,0.1945,286.827,0.57,0.503
28,1.87,0.8156,0.0846,274.706,0.27,0.353
29,4.66,2.1202,0.0866,276.753,0.274,0.355
30,3.37,1.5536,0.1087,289.306,0.417,0.428
31,4.29,1.9235,0.1537,380.378,0.466,0.395
32,1.89,0.8538,0.1476,345.961,0.553,0.451
33,1.41,0.6175,0.0751,365.599,0.518,0.425
34,1.41,0.6715,0.1218,447.639,0.419,0.345
35,0.93,0.4425,0.0725,308.366,0.453,0.433
36,1.09,0.5135,0.1034,408.896,0.466,0.381
37,2.3,1.0664,0.1217,417.023,0.442,0.367
38,2.19,0.9401,0.0361,190.479,0.159,0.326
39,3.11,1.4071,0.0474,175.44,0.146,0.325
40,3.28,1.4663,0.0872,271.301,0.278,0.361
41,2.96,1.0285,0.0851,632.125,0.41,0.287
42,3.64,1.4449,0.0428,224.552,0.169,0.309
43,3.04,1.0751,0.0735,441.187,0.356,0.321
44,3.32,1.0773,0.1192,398.074,0.387,0.352
45,2.03,0.8064,0.0999,525.981,0.444,0.328
46,3.97,1.4785,0.0883,412.957,0.33,0.319
47,3.29,1.2628,0.2608,683.771,0.765,0.377
48,3.45,1.3575,0.1216,381.378,0.333,0.333
49,4.9,1.7587,0.0867,349.924,0.444,0.402
50,5.18,1.8386,0.1347,427.223,0.425,0.356
51,6.24,2.2942,0.1395,498.242,0.536,0.37
52,4.59,1.6643,0.0771,378.81,0.342,0.339
53,1.66,0.6778,0.018,213.047,0.115,0.262
54,0.79,0.2747,0.0384,439.986,0.289,0.289
55,1.04,0.431,0.0267,207.218,0.263,0.402
56,1.43,0.4901,0.0552,387.56,0.283,0.305
