george_point,easting,northing,elevation,plot
31,448399.264,6931381.969,87.117,29
32,448392.709,6931345.688,88.256,29
33,448428.111,6931339.227,87.866,29
34,448434.698,6931375.688,86.786,29
35,448343.541,6931354.66,87.951,28
36,448350.044,6931390.655,86.984,28
37,448385.481,6931384.392,87.165,28
38,448378.942,6931348.2,88.29,28
39,448260.324,6931402.177,85.833,60
40,448254.608,6931365.718,86.263,60
41,448290.169,6931360.202,87.133,60
42,448295.859,6931396.501,86.361,60
43,448506.565,6931316.806,86.643,24
44,448500.066,6931281.068,87.031,24
45,448464.637,6931287.376,87.429,24
46,448471.159,6931323.245,86.728,24
47,448427.822,6931282.109,88.99,23
48,448421.78,6931245.74,90.277,23
49,448386.359,6931252.107,90.603,23
50,448392.455,6931288.807,89.612,23
51,448329.858,6931290.66,89.481,22
52,448324.147,6931254.23,90.15,22
53,448288.605,6931259.867,89.335,22
54,448294.305,6931296.225,88.839,22
55,448314.616,6931193.43,91.351,17
56,448279.041,6931198.858,90.383,17
57,448273.351,6931162.563,90.928,17
58,448308.947,6931157.269,91.711,17
59,448331.872,6931238.966,90.739,18
60,448296.31,6931244.472,90.023,18
61,448290.634,6931208.267,90.48,18
62,448326.206,6931202.824,91.364,18
63,448231.1,6931306.118,87.309,58
64,448195.547,6931311.683,86.777,58
65,448189.878,6931275.525,87.134,58
66,448225.42,6931269.888,87.786,58
67,448215.797,6931208.506,88.665,15
68,448210.07,6931171.974,89.302,15
69,448174.475,6931177.268,88.465,15
70,448180.223,6931213.933,87.844,15
71,448233.088,6931254.259,88.266,20
72,448227.395,6931217.943,88.798,20
73,448191.823,6931223.386,87.832,20
74,448197.526,6931259.765,87.468,20
75,448282.48,6931246.613,89.633,19
76,448276.801,6931210.384,90.082,19
77,448241.228,6931215.827,89.167,19
78,448246.918,6931252.118,88.675,19
79,448280.479,6931298.389,88.573,21
80,448274.783,6931262.059,89.078,21
81,448239.242,6931267.696,88.072,21
82,448244.926,6931303.954,87.628,21
83,448265.206,6931200.968,89.933,16
84,448229.632,6931206.396,89.07,16
85,448223.913,6931169.916,89.614,16
86,448259.508,6931164.622,90.437,16
87,448309.169,6931094.141,92.711,10
88,448303.439,6931057.594,93.133,10
89,448267.871,6931063.06,92.38,10
90,448273.597,6931099.588,91.966,10
91,448301.265,6931043.726,93.309,2
92,448265.713,6931049.189,92.625,2
93,448259.923,6931012.365,93.152,2
94,448295.49,6931006.886,93.696,2
95,448210.359,6931109.272,90.469,8
96,448204.638,6931072.778,91.084,8
97,448169.069,6931078.245,90.214,8
98,448174.787,6931114.719,89.543,8
99,448202.464,6931058.909,91.308,4
100,448196.704,6931022.171,92.073,4
101,448161.152,6931027.74,91.433,4
102,448166.895,6931064.375,90.38,4
103,448259.764,6931101.707,91.654,9
104,448254.038,6931065.186,92.073,9
105,448218.47,6931070.653,91.343,9
106,448224.192,6931107.154,90.761,9
107,448216.296,6931056.783,91.631,3
108,448251.864,6931051.318,92.345,3
109,448246.19,6931014.481,92.916,3
110,448210.53,6931020.005,92.258,3
111,448217.757,6931156.463,89.747,13
112,448212.055,6931120.093,90.292,13
113,448176.476,6931125.493,89.399,13
114,448182.158,6931161.736,88.912,13
115,448261.47,6931112.593,91.493,12
116,448267.2,6931149.14,90.964,12
117,448231.601,6931154.413,90.138,12
118,448225.891,6931117.993,90.593,12
119,448310.885,6931105.093,92.644,11
120,448316.642,6931141.817,92.227,11
121,448281.044,6931147.09,91.398,11
122,448275.307,6931110.493,91.861,11
123,448350.573,6931035.544,93.846,1
124,448315.087,6931041.537,93.481,1
125,448309.321,6931004.756,93.953,1
126,448344.888,6930999.278,94.313,1
127,448020.362,6931188.156,87.032,52
128,448014.61,6931151.466,87.388,52
129,447979.09,6931157.241,87.377,52
130,447984.859,6931194.038,87.136,52
131,448063.944,6931143.446,87.579,51
132,448069.733,6931180.374,87.131,51
133,448034.171,6931185.883,87.15,51
134,448028.423,6931149.221,87.457,51
135,448111.587,6931124.643,88.155,49
136,448105.854,6931088.073,88.704,49
137,448070.306,6931093.674,88.288,49
138,448076.058,6931130.361,87.768,49
139,448097.94,6931037.593,89.799,6
140,448103.679,6931074.199,88.878,6
141,448068.127,6931079.772,88.527,6
142,448062.38,6931043.109,89.129,6
143,447999.187,6931053.081,88.658,32
144,448004.934,6931089.745,88.197,32
145,447969.386,6931095.341,88.103,32
146,447963.642,6931058.702,88.729,32
147,448048.552,6931045.262,88.906,31
148,448054.307,6931081.972,88.49,31
149,448018.758,6931087.568,88.282,31
150,448013.009,6931050.891,88.686,31
151,448062.241,6931132.584,87.653,48
152,448056.482,6931095.852,88.223,48
153,448020.935,6931101.452,88.057,48
154,448026.712,6931138.302,87.634,48
155,448118.946,6931171.587,87.501,50
156,448113.277,6931135.425,88,50
157,448077.757,6931141.2,87.679,50
158,448083.537,6931178.07,87.237,50
159,448012.895,6931140.526,87.538,47
160,448007.111,6931103.63,88.039,47
161,447971.563,6931109.23,87.967,47
