"plot","y","mapped_x","plant_id_baseline","plant_id_resurvey","height_baseline_cm","height_resurvey","mapper_baseline","x","date_mapped_baseline","snapped_at_height_baseline","crispy_tip_baseline","survival_status_baseline","herbivore_damage_baseline","tree_neighbour","ant_nest_neighbour","within_ripline","distance_from_previous_m","weed_cover_baseline","roots_pot_soil_visible_baseline","notes_baseline","date_resurvey","mapper_resurvey","snapped_height_resurvey_cm","crispy_tip_resurvey","survival_status_resurvey","herbivore_damage_resurvey","notes_resurvey","id_certainty","species","date_planted","date_diff_b2r","date_diff_p2b","date_diff_p2r","block","mixture","provenance","innoculation","compost_min_row","compost_max_row","notes","compost"
1,1,1,"acgl","missing",6,NA,"JED",13,2021-05-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,2,"eute","eute",18,64,"JED",12,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,3,"acgl","missing",15,NA,"JED",11,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,4,"eute","eute",23,88,"JED",10,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,5,"acgl","missing",16,NA,"JED",9,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,6,"acsa","acsa",16,30,"JED",8,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","acsa",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,7,"acgl","missing",8,NA,"JED",7,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,8,"eute","eute",11,38,"JED",6,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,9,"acgl","acgl",8,46,"JED",5,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,10,"eute","eute",11,34,"JED",4,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,11,"acgl","acgl",10,15,"JED",3,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,12,"eute","missing",16,NA,"JED",2,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,1,13,"acgl","acgl",5,30,"JED",1,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,2,1,"eute","eute",15,49,"JED",1,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,2,2,"acgl","missing",9,NA,"JED",2,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,2,3,"eute","eute",11,84,"JED",3,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,NA,"certain","eute",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,2,4,"acgl","missing",17,NA,"JED",4,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
1,2,5,"acgl","missing",14,NA,"JED",5,2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,"JED",NA,NA,NA,NA,"MISSING GRASS","certain","acgl",2021-06-24,220,-27,193,"A","K","local","YES",7,13,NA,"NO"
