"plant_number","leaf_sample","species","la","sla","ldmc","ssd","rtd","srl","seed_mass"
1,1,"acgl",0.1381,12.0086956521739,0.477178423236515,0.453069306930693,32.5978987583572,14.040697333724,0.0202
1,2,"acgl",0.0994,15.2923076923077,0.5,0.453069306930693,32.5978987583572,14.040697333724,0.0202
1,3,"acgl",0.147,13.7383177570093,0.488584474885845,0.453069306930693,32.5978987583572,14.040697333724,0.0202
2,1,"acgl",0.1678,17.4791666666667,0.4,0.425,29.1011235955056,22.249806949807,0.0202
2,2,"acgl",0.1772,17.8989898989899,0.404081632653061,0.425,29.1011235955056,22.249806949807,0.0202
2,3,"acgl",0.2014,24.5609756097561,0.39047619047619,0.425,29.1011235955056,22.249806949807,0.0202
3,1,"acgl",0.1,14.0845070422535,0.43030303030303,0.415119047619048,16.8571428571429,47.6113559322034,0.0202
3,2,"acgl",0.0842,12.2028985507246,0.5390625,0.415119047619048,16.8571428571429,47.6113559322034,0.0202
3,3,"acgl",0.1069,16.968253968254,0.35195530726257,0.415119047619048,16.8571428571429,47.6113559322034,0.0202
4,1,"acgl",0.2937,14.2572815533981,0.488151658767773,0.423214285714286,25.5325914149444,32.3676836861768,0.0202
4,2,"acgl",0.1242,14.7857142857143,0.424242424242424,0.423214285714286,25.5325914149444,32.3676836861768,0.0202
4,3,"acgl",0.2417,14.8282208588957,0.510971786833856,0.423214285714286,25.5325914149444,32.3676836861768,0.0202
5,1,"acsa",8.394,7.99428571428571,0.281124497991968,0.411644736842105,30.9839357429719,24.1229423201555,0.0478
5,2,"acsa",9.847,8.84725965858041,0.28472755180353,0.411644736842105,30.9839357429719,24.1229423201555,0.0478
5,3,"acsa",7.279,8.84447144592953,0.278605280974949,0.411644736842105,30.9839357429719,24.1229423201555,0.0478
6,1,"acsa",16.911,12.554565701559,0.234179415855355,0.406875,23.943661971831,36.9411764705882,0.0478
6,2,"acsa",21.521,13.1385836385836,0.239054290718039,0.406875,23.943661971831,36.9411764705882,0.0478
6,3,"acsa",23.66,11.83,0.314465408805031,0.406875,23.943661971831,36.9411764705882,0.0478
7,1,"acsa",13.958,12.5071684587814,0.238869863013699,0.437307692307692,20.3132530120482,31.6905100830368,0.0478
7,2,"acsa",11.561,13.0191441441441,0.223227752639517,0.437307692307692,20.3132530120482,31.6905100830368,0.0478
7,3,"acsa",13.38,14.2340425531915,0.216639778750864,0.437307692307692,20.3132530120482,31.6905100830368,0.0478
8,1,"acsa",16.921,10.1688701923077,0.276779773785762,0.434864864864865,16.1205564142195,48.0511984659636,0.0478
8,2,"acsa",16.085,10.0405742821473,0.274644265386594,0.434864864864865,16.1205564142195,48.0511984659636,0.0478
8,3,"acsa",19.482,10.099533437014,0.263848994665572,0.434864864864865,16.1205564142195,48.0511984659636,0.0478
9,1,"anfl",26.859,16.4074526572999,0.37762399077278,0.344540816326531,25.3333333333333,45.7169172932331,0.0136
9,2,"anfl",25.375,20.0118296529968,0.382503770739065,0.344540816326531,25.3333333333333,45.7169172932331,0.0136
9,3,"anfl",24.121,16.6466528640442,0.391410048622366,0.344540816326531,25.3333333333333,45.7169172932331,0.0136
10,1,"anfl",13.14,23.7613019891501,0.376190476190476,0.382602739726027,19.1747572815534,73.8881012658228,0.0136
10,2,"anfl",18.2,19.6120689655172,0.38001638001638,0.382602739726027,19.1747572815534,73.8881012658228,0.0136
10,3,"anfl",11.996,23.2480620155039,0.38796992481203,0.382602739726027,19.1747572815534,73.8881012658228,0.0136
11,1,"anfl",25.719,14.2962757087271,0.343320610687023,0.364230769230769,28.5661764705882,38.7185328185328,0.0136
11,2,"anfl",31.716,11.2269026548673,0.413555848338457,0.364230769230769,28.5661764705882,38.7185328185328,0.0136
11,3,"anfl",11.632,13.6206088992974,0.405700712589074,0.364230769230769,28.5661764705882,38.7185328185328,0.0136
12,1,"anfl",77.764,18.0720427608645,0.32905100558232,0.353883495145631,26.7405764966741,37.9790215588723,0.0136
